R#,PLAYER,ADP,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
68,Pascal Siakam,48.8,"PF,C",IND,72,34.5,0.501(8.9/17.7),0.722(3.7/5.1),1.8,23.2,7.2,3.8,1.1,0.5,1.9,2.62
69,Ivica Zubac,65.7,C,IND,72,30.4,0.618(6.6/10.7),0.681(1.9/2.9),0,15.2,11.5,2.4,0.6,1,1.6,2.61
70,Dyson Daniels,61.7,"SG,SF",ATL,75,32.3,0.504(5.1/10.1),0.622(1.0/1.6),0.6,11.8,6.1,4.7,2.2,0.6,1.7,2.6
71,Jaden McDaniels,86.7,SF,MIN,74,32.8,0.496(6.0/12.1),0.813(1.8/2.2),1.5,15.3,5.8,2.7,1.1,1,1.7,2.55
72,Zach LaVine,107.5,"PG,SG,SF",SAC,68,32.4,0.501(7.6/15.1),0.844(3.1/3.7),2.9,21.1,3.6,3.4,0.7,0.2,2.4,2.5
73,Jaylen Brown,28.7,"SG,SF,PF",PHI,70,33.1,0.486(8.3/17.0),0.782(4.3/5.6),1.7,22.6,5.7,3.4,1.1,0.5,2.5,2.44
74,De'Aaron Fox,80.2,PG,SA,72,30.5,0.483(7.0/14.5),0.799(3.1/3.9),1.7,18.9,3.9,5.8,1.2,0.3,2.3,2.44
75,John Collins,117.4,"PF,C",DET,70,28.9,0.541(6.1/11.2),0.810(2.4/3.0),1.4,16,6.6,1.4,0.9,0.9,1.9,2.44
76,Immanuel Quickley,96.9,"PG,SG",TOR,70,32,0.435(6.0/13.8),0.837(2.9/3.4),2.7,17.6,4.1,6.2,1.2,0.1,1.6,2.41
77,Naz Reid,63.8,"PF,C",CHA,74,30.8,0.449(6.1/13.5),0.756(1.5/2.0),2.5,16.1,7.1,2.6,1,1.1,1.7,2.41
78,Rudy Gobert,73.4,C,MIN,74,31.5,0.675(4.5/6.7),0.596(2.3/3.8),0,11.3,11.1,1.7,0.8,1.5,1.3,2.28
79,Deni Avdija,38.5,"SG,SF,PF",POR,68,33.3,0.469(6.2/13.3),0.793(5.4/6.8),1.7,19.6,6.8,5,0.9,0.5,3.1,2.27
80,Zion Williamson,69.9,"PF,C",NO,60,29.4,0.587(8.4/14.3),0.696(5.3/7.7),0.1,22.1,6.2,3.9,1.1,0.7,2.4,2.2
81,Day'Ron Sharpe,94,C,BKN,68,28.2,0.563(4.8/8.6),0.704(2.0/2.9),0.3,11.9,9.4,3,1.4,0.9,2.2,2.18
82,Jarrett Allen,72.7,C,CLE,70,26.9,0.676(5.5/8.2),0.712(2.7/3.8),0,13.8,8.9,1.8,0.9,0.8,1.2,2.12
83,Ja Morant,91.5,PG,POR,62,30.4,0.465(6.7/14.5),0.845(4.6/5.5),1.4,19.5,3.4,6.6,1,0.2,3.2,2.05
84,Keyonte George,55.9,"PG,SG",UTA,70,31.9,0.423(6.3/14.9),0.860(4.7/5.5),2.6,19.9,3.7,6.1,0.9,0.2,2.9,2.03
85,Josh Hart,96,"SG,SF",NY,68,31.5,0.503(4.6/9.1),0.753(1.6/2.2),1.2,12,8,5,1.3,0.3,1.9,1.9
86,Coby White,87.7,"PG,SG",CHA,72,31,0.451(6.4/14.3),0.864(3.9/4.5),2.7,19.5,3.6,4.7,0.8,0.2,2.5,1.84
87,VJ Edgecombe,74.2,"PG,SG",PHI,74,34.1,0.438(5.9/13.5),0.815(1.9/2.4),2,15.7,5.6,4.1,1.4,0.5,1.8,1.84
88,Andrew Wiggins,103.6,"SG,SF,PF",MIA,68,31.4,0.461(6.2/13.5),0.771(2.6/3.4),2.2,17.2,4.9,2.8,1.1,1,1.6,1.8
89,Ausar Thompson,89.7,"SG,SF,PF",DET,74,28.2,0.529(4.9/9.2),0.602(1.8/2.9),0.2,11.6,6.4,3.2,2.2,1,1.7,1.79
90,Ajay Mitchell,114.4,"PG,SG",OKC,68,30.1,0.487(5.5/11.4),0.865(2.5/2.9),1.2,14.8,3.8,4,1.4,0.3,1.6,1.78
91,Payton Pritchard,78.7,PG,BOS,77,32.5,0.467(6.2/13.3),0.873(1.3/1.5),3.2,16.9,3.4,4.7,0.8,0.2,1.3,1.78
92,Jakob Poeltl,121.6,C,TOR,58,26.5,0.653(5.5/8.4),0.642(1.5/2.3),0,12.4,8.2,2.4,1,1,1.6,1.74
93,Isaiah Hartenstein,105,C,OKC,68,26.4,0.597(4.5/7.6),0.645(1.4/2.2),0,10.5,10.3,3.8,0.9,1,1.7,1.67
94,Cameron Johnson,110.7,"SF,PF",DEN,60,30.8,0.477(5.3/11.0),0.875(2.7/3.0),2.4,15.6,4.1,2.9,0.8,0.4,1.3,1.66
95,Keegan Murray,120.6,"SF,PF",SAC,72,34.2,0.450(6.2/13.8),0.824(1.5/1.8),2.2,16.1,6.5,1.5,0.9,1.1,1,1.65
96,Myles Turner,98.9,C,MIL,70,27.4,0.463(4.6/9.9),0.758(2.1/2.8),2.1,13.3,5.8,1.5,0.7,1.8,1.4,1.57
97,Norman Powell,93.1,"SG,SF",CHI,65,29.6,0.477(7.1/15.0),0.816(3.9/4.7),2.7,20.9,3.2,2.2,1.1,0.2,1.8,1.55
98,Julius Randle,67.3,PF,BKN,75,32.6,0.476(7.0/14.7),0.789(4.6/5.8),1.5,20,6.9,4.6,0.9,0.2,2.8,1.46
99,Neemias Queta,111.8,C,BOS,75,25.9,0.653(4.3/6.6),0.719(1.6/2.2),0,10.2,8.2,1.6,0.7,1.3,1.1,1.43
100,Derik Queen,78.2,"PF,C",NO,80,27.5,0.473(4.8/10.1),0.796(2.9/3.7),0.3,12.8,7.7,4,1.1,1,2.6,1.42
101,Paolo Banchero,34.7,PF,ORL,73,35.2,0.456(8.2/18.0),0.756(6.4/8.5),1.5,24.3,8.3,5.2,0.8,0.6,3.1,1.4
102,Mikal Bridges,78.8,"SF,PF",NY,80,32.5,0.496(6.1/12.3),0.815(1.0/1.2),1.8,15,3.3,3.5,1,0.6,1.2,1.22
103,Cason Wallace,117.8,"PG,SG,SF",OKC,78,30.4,0.451(3.8/8.4),0.817(0.7/0.8),1.4,9.6,3.7,2.9,2.1,0.5,1,1.2
104,Khaman Maluach,120.6,C,PHO,60,25.9,0.542(4.2/7.8),0.721(1.4/2.0),0.3,10.2,9.1,0.7,0.5,1.9,1.6,1.14
105,Sandro Mamukelashvili,117.5,"PF,C",LAL,74,25.8,0.517(5.1/9.8),0.749(1.7/2.3),1.9,13.7,6.2,2.1,0.9,0.6,1,1.13
106,Dylan Harper,83.3,"PG,SG",SA,72,29.5,0.504(6.3/12.6),0.754(1.7/2.3),1.2,15.6,4.5,5.1,1,0.5,1.9,1.09
107,Miles Bridges,98.2,PF,PHO,72,30.1,0.445(6.5/14.7),0.845(3.0/3.5),2,18,6.4,3.4,0.6,0.5,1.7,1.08
108,Collin Murray-Boyles,115.7,"PF,C",TOR,68,28,0.579(4.5/7.8),0.657(1.6/2.5),0.4,11,6.5,2.4,1.2,1.2,1.3,0.96
109,Tre Jones,,"PG,SG",CHI,68,25.9,0.549(4.6/8.4),0.837(2.4/2.9),0.6,12.3,3.2,5.3,1.1,0.2,1.3,0.87
110,Christian Braun,120.1,"SG,SF,PF",DEN,72,31.8,0.560(5.3/9.5),0.815(2.0/2.5),1,13.8,4.9,2.6,0.9,0.4,1,0.87
111,Brandin Podziemski,115.9,"PG,SG",GS,78,31,0.451(5.2/11.6),0.785(2.0/2.6),2.1,14.5,5.8,4.1,1.2,0.2,1.6,0.85
112,Alexandre Sarr,69,C,WAS,68,28.8,0.433(6.0/13.8),0.686(2.0/2.9),1.5,15.4,7.4,2.7,0.8,1.8,1.8,0.84
113,De'Andre Hunter,91,"SF,PF",SAC,65,31.5,0.448(6.2/13.8),0.855(3.7/4.3),2.5,18.6,4.8,2,0.9,0.2,1.7,0.82
114,Jabari Smith Jr.,95.3,"PF,C",HOU,75,35.2,0.446(5.5/12.4),0.796(2.1/2.7),2.2,15.4,7.5,1.6,0.7,0.9,1.3,0.74
115,Caleb Wilson,79.5,PF,CHI,72,30.4,0.491(5.2/10.5),0.720(3.9/5.5),1,15.2,8,2,1.2,1,1.8,0.71
116,Mitchell Robinson,108.4,C,BOS,65,22.8,0.709(2.9/4.1),0.448(0.9/1.9),0,6.7,9.8,1,1.1,1.4,0.8,0.69
117,Cedric Coward,91.9,"SG,SF",MEM,70,28.8,0.450(6.0/13.3),0.844(2.6/3.0),1.8,16.3,6.6,3.1,0.7,0.5,1.9,0.67
118,Reed Sheppard,119.4,"PG,SG",HOU,74,25.8,0.415(4.6/11.0),0.800(0.8/1.0),2.6,12.5,2.9,3.3,1.5,0.7,1.5,0.46
119,Paul Reed,119.2,"PF,C",DET,69,17.9,0.585(3.8/6.5),0.693(1.4/2.1),0.3,9.3,5.6,1.7,1.3,1.2,1.1,0.45
120,Kevin Porter Jr.,117.6,"PG,SG",MIL,60,24.4,0.456(4.8/10.5),0.822(2.4/2.9),0.9,12.9,4.3,4.8,1.5,0.3,2.2,0.39
121,Quentin Grimes,121.9,"SG,SF",LAL,74,30.8,0.459(5.3/11.6),0.799(2.7/3.3),2.1,15.5,4.4,3.5,1,0.4,2,0.36
122,Draymond Green,110.9,"PF,C",GS,68,28.8,0.421(3.2/7.6),0.695(1.2/1.7),1.4,8.9,6,5.7,1.2,0.9,2.7,0.3
123,Nicolas Claxton,91.4,C,CHI,70,28.4,0.568(4.9/8.7),0.574(1.7/2.9),0.1,11.6,7.5,3.1,0.8,1.3,1.4,0.26
124,Toumani Camara,112.5,"SF,PF",POR,80,33.1,0.448(4.6/10.2),0.713(1.2/1.7),2.2,12.6,5.5,2.4,1.3,0.5,1.6,0.25
125,Collin Gillespie,123.5,"PG,SG",PHO,75,26.4,0.420(4.1/9.7),0.868(0.9/1.1),2.6,11.7,3.9,4.4,1.2,0.2,1.4,0.24
126,Gui Santos,,"SF,PF",GS,72,30.1,0.488(4.4/9.0),0.715(1.6/2.3),1.6,12,6.2,3.4,1.2,0.5,2,0.22
127,Cam Spencer,,"PG,SG",MEM,65,23.8,0.465(3.6/7.8),0.947(1.8/1.9),2,11.1,2.6,5.3,0.8,0.2,1.2,0.22
128,Jrue Holiday,118.3,"PG,SG",POR,54,28.2,0.448(4.7/10.6),0.867(1.3/1.5),2,12.8,4.2,4.6,1,0.3,1.8,0.21
129,DeMar DeRozan,116.5,"SF,PF",DEN,72,27.8,0.498(5.7/11.5),0.863(3.8/4.4),0.9,16.2,2.7,2.3,0.9,0.4,1,0.18
130,Devin Vassell,116.7,"SG,SF",SA,68,30.5,0.441(5.5/12.6),0.806(1.5/1.9),2.5,15.1,4,2.7,1.1,0.4,1.1,0.16
131,Saddiq Bey,121.5,"SF,PF",NO,72,29.2,0.451(5.7/12.7),0.842(3.3/3.9),2,16.7,5.3,2.4,0.9,0.1,0.9,0.08
132,Fred VanVleet,119.7,PG,HOU,60,31.2,0.378(4.3/11.3),0.814(1.7/2.0),2.4,12.6,3.3,5,1.4,0.4,1.3,0.05
133,Jusuf Nurkic,114,C,UTA,58,26.4,0.490(4.3/8.8),0.612(1.8/3.0),0.7,11.2,10.2,3.9,1.1,0.7,2.5,0.04
134,Aaron Nesmith,102.5,"SG,SF",IND,69,30.4,0.454(5.1/11.1),0.862(2.1/2.4),2.4,14.5,4.6,1.8,0.8,0.5,1.3,0.01
135,CJ McCollum,108.9,"PG,SG",ATL,73,30,0.450(7.2/15.9),0.749(2.3/3.0),2.7,19.3,3.4,3.9,0.8,0.4,1.8,-0.06
136,Robert Williams III,,C,POR,60,17.1,0.691(2.9/4.2),0.660(0.6/0.9),0.1,6.5,6.8,1,0.6,1.5,0.8,-0.15
137,Andrew Nembhard,115.9,"PG,SG",IND,64,30.4,0.449(4.9/10.8),0.813(2.5/3.1),1.3,13.6,3.2,6.4,1.1,0.2,2.1,-0.15
138,Egor Demin,120.3,"PG,SG",BKN,69,29.5,0.418(4.6/11.1),0.826(1.3/1.6),2.6,13.2,3.7,4,1,0.4,2.1,-0.17
139,Peyton Watson,116.2,"SF,PF",CLE,70,30.1,0.474(4.6/9.6),0.717(2.2/3.0),1.2,12.5,4.7,1.9,0.9,1.4,1.4,-0.23
140,Jalen Green,104.8,"SG,SF",PHO,69,31.1,0.423(7.3/17.4),0.798(3.0/3.8),2.7,20.4,4.4,3.3,0.9,0.3,2.5,-0.25
141,Kyshawn George,115.8,"SG,SF,PF",WAS,68,29,0.406(4.2/10.3),0.785(1.6/2.1),2,11.9,4.9,3.5,1.1,0.9,2,-0.31
142,Anthony Black,118.8,"PG,SG,SF",ORL,68,30.4,0.436(4.9/11.3),0.746(2.6/3.5),1.3,13.7,3.8,3.9,1.4,0.8,2.2,-0.35
143,P.J. Washington,118.7,"PF,C",DAL,68,30.4,0.451(5.1/11.4),0.703(2.3/3.3),1.4,14,7.2,2,1,1,1.8,-0.36
144,Aaron Gordon,112.7,"PF,C",DEN,58,27.9,0.516(5.3/10.3),0.789(3.1/3.9),1.6,15.3,5.2,3,0.5,0.3,1.3,-0.36
145,Ayo Dosunmu,112.9,"PG,SG",MIN,73,27.4,0.508(4.9/9.6),0.844(1.5/1.8),1.5,12.7,3.2,3.7,0.8,0.3,1.3,-0.37
146,Tari Eason,122.2,"SG,SF,PF",HOU,60,24.2,0.450(4.2/9.4),0.766(1.1/1.4),1.3,10.8,6.1,1.4,1.4,0.6,1.2,-0.39
147,Bobby Portis,114.8,"PF,C",MIA,68,25.1,0.478(5.7/11.9),0.776(1.0/1.3),1.8,14.1,7.4,1.9,0.7,0.3,1.1,-0.4
148,Malik Monk,,"PG,SG",SAC,68,26.2,0.439(5.3/12.2),0.869(1.9/2.2),2,14.6,2.8,4.2,0.8,0.5,1.9,-0.4
149,Jaime Jaquez Jr.,103.9,"SG,SF,PF",MIL,72,29.2,0.491(5.7/11.6),0.762(2.3/3.0),0.8,14.6,5.6,4.4,1,0.3,2.1,-0.41
150,Stephon Castle,55.1,"PG,SG",SA,70,31.4,0.448(6.1/13.6),0.729(4.0/5.5),1.3,17.5,5,6.3,1.2,0.3,3,-0.56
151,Wendell Carter Jr.,111.2,C,ORL,70,29.3,0.490(4.0/8.3),0.768(2.4/3.1),0.8,11.3,7.8,2.1,0.8,0.7,1.3,-0.56
152,RJ Barrett,111.1,"SG,SF,PF",TOR,58,31.5,0.479(7.6/15.9),0.670(3.5/5.2),1.8,20.5,5.9,4.5,0.8,0.3,2.3,-0.6
153,Tobias Harris,117.6,PF,SA,65,26.2,0.474(4.5/9.6),0.863(1.8/2.1),1.1,12,4.9,2.1,0.9,0.5,1,-0.64
154,Dereck Lively II,,C,DAL,55,19.8,0.694(3.1/4.4),0.651(1.1/1.8),0,7.3,6.5,2.1,0.5,1.4,1.1,-0.7
